 ,X,Y
1,323.500,262.500
2,314.000,294.500
3,205.700,298.100
4,207.700,301.400
5,206.000,303.500
6,214.000,311.000
7,323.167,317.833
8,347.833,318.500
9,210.500,318.500
10,325.500,318.500
11,317.500,320.500
12,329.857,322.143
13,347.500,320.500
14,355.500,320.500
15,316.250,322.250
16,319.500,321.500
17,345.500,321.500
18,341.833,323.833
19,215.900,324.300
20,347.000,323.500
21,316.500,325.500
22,330.300,326.100
23,344.500,325.500
24,325.500,327.000
25,334.500,327.000
26,337.833,327.833
27,323.000,330.500
28,304.500,332.500
29,335.000,336.500
30,342.750,338.500
31,304.750,339.250
32,349.500,338.500
33,363.500,339.500
34,351.000,341.000
35,341.500,341.500
36,327.500,342.500
37,360.500,342.500
38,313.500,344.500
39,330.000,345.000
40,339.500,344.500
41,361.500,345.000
42,310.786,347.071
43,323.265,348.029
44,333.000,345.500
45,336.500,345.500
46,344.625,347.500
47,350.500,347.500
48,335.500,349.500
49,320.500,351.500
50,355.500,422.500
51,357.500,422.500
52,387.500,425.500
53,345.500,427.500
54,362.500,428.500
55,337.833,435.167
56,341.500,434.500
57,361.500,435.500
58,345.000,438.500
59,331.500,441.500
60,333.500,441.500
61,343.000,441.833
62,326.875,443.750
63,336.250,443.750
64,330.000,445.000
65,341.500,444.500
66,335.071,447.643
67,339.000,446.500
68,351.500,446.500
69,330.500,447.500
70,331.500,459.500
